Source,CH1,CH2
-1.082360E-01,+0.000000E+00,+5.280000E+00
-1.082320E-01,+0.000000E+00,+5.360000E+00
-1.082280E-01,+8.000000E-02,+5.360000E+00
-1.082240E-01,+0.000000E+00,+5.360000E+00
-1.082200E-01,+0.000000E+00,+5.360000E+00
-1.082160E-01,+0.000000E+00,+5.360000E+00
-1.082120E-01,+8.000000E-02,+5.280000E+00
-1.082080E-01,+8.000000E-02,+5.440000E+00
-1.082040E-01,+0.000000E+00,+5.360000E+00
-1.082000E-01,+0.000000E+00,+5.280000E+00
-1.081960E-01,+0.000000E+00,+5.360000E+00
-1.081920E-01,+8.000000E-02,+5.360000E+00
-1.081880E-01,+8.000000E-02,+5.360000E+00
-1.081840E-01,+0.000000E+00,+5.360000E+00
-1.081800E-01,+0.000000E+00,+5.360000E+00
-1.081760E-01,+0.000000E+00,+5.280000E+00
-1.081720E-01,+0.000000E+00,+5.360000E+00
-1.081680E-01,+0.000000E+00,+5.440000E+00
-1.081640E-01,+0.000000E+00,+5.280000E+00
-1.081600E-01,+0.000000E+00,+5.360000E+00
-1.081560E-01,+0.000000E+00,+5.280000E+00
-1.081520E-01,+0.000000E+00,+5.360000E+00
-1.081480E-01,+0.000000E+00,+5.360000E+00
-1.081440E-01,+0.000000E+00,+5.360000E+00
-1.081400E-01,+8.000000E-02,+5.280000E+00
-1.081360E-01,+0.000000E+00,+5.360000E+00
-1.081320E-01,+8.000000E-02,+5.280000E+00
-1.081280E-01,+0.000000E+00,+5.360000E+00
-1.081240E-01,+8.000000E-02,+5.360000E+00
-1.081200E-01,+8.000000E-02,+5.360000E+00
-1.081160E-01,+8.000000E-02,+5.360000E+00
-1.081120E-01,+0.000000E+00,+5.360000E+00
-1.081080E-01,+8.000000E-02,+5.360000E+00
-1.081040E-01,+8.000000E-02,+5.440000E+00
-1.081000E-01,+0.000000E+00,+5.280000E+00
-1.080960E-01,+8.000000E-02,+5.360000E+00
-1.080920E-01,+0.000000E+00,+5.360000E+00
-1.080880E-01,+0.000000E+00,+5.280000E+00
-1.080840E-01,+0.000000E+00,+5.360000E+00
-1.080800E-01,+0.000000E+00,+5.360000E+00
-1.080760E-01,+0.000000E+00,+5.280000E+00
-1.080720E-01,+0.000000E+00,+5.360000E+00
-1.080680E-01,+0.000000E+00,+5.280000E+00
-1.080640E-01,+0.000000E+00,+5.360000E+00
-1.080600E-01,+0.000000E+00,+5.360000E+00
-1.080560E-01,+0.000000E+00,+5.280000E+00
-1.080520E-01,+0.000000E+00,+5.360000E+00
-1.080480E-01,+0.000000E+00,+5.280000E+00
-1.080440E-01,+8.000000E-02,+5.360000E+00
-1.080400E-01,+8.000000E-02,+5.360000E+00
-1.080360E-01,+0.000000E+00,+5.360000E+00
-1.080320E-01,+0.000000E+00,+5.280000E+00
-1.080280E-01,-8.000000E-02,+5.360000E+00
-1.080240E-01,+0.000000E+00,+5.360000E+00
-1.080200E-01,+8.000000E-02,+5.360000E+00
-1.080160E-01,+0.000000E+00,+5.360000E+00
-1.080120E-01,+0.000000E+00,+5.280000E+00
-1.080080E-01,+8.000000E-02,+5.360000E+00
-1.080040E-01,+8.000000E-02,+5.280000E+00
-1.080000E-01,+0.000000E+00,+5.280000E+00
-1.079960E-01,+0.000000E+00,+5.360000E+00
-1.079920E-01,+8.000000E-02,+5.360000E+00
-1.079880E-01,+0.000000E+00,+5.360000E+00
-1.079840E-01,+0.000000E+00,+5.280000E+00
-1.079800E-01,+0.000000E+00,+5.360000E+00
-1.079760E-01,+0.000000E+00,+5.360000E+00
-1.079720E-01,+0.000000E+00,+5.360000E+00
-1.079680E-01,+0.000000E+00,+5.360000E+00
-1.079640E-01,+8.000000E-02,+5.280000E+00
-1.079600E-01,+0.000000E+00,+5.360000E+00
-1.079560E-01,+8.000000E-02,+5.280000E+00
-1.079520E-01,+8.000000E-02,+5.440000E+00
-1.079480E-01,+0.000000E+00,+5.360000E+00
-1.079440E-01,+0.000000E+00,+5.280000E+00
-1.079400E-01,+0.000000E+00,+5.360000E+00
-1.079360E-01,+0.000000E+00,+5.280000E+00
-1.079320E-01,+8.000000E-02,+5.360000E+00
-1.079280E-01,+8.000000E-02,+5.360000E+00
-1.079240E-01,+0.000000E+00,+5.360000E+00
-1.079200E-01,+0.000000E+00,+5.360000E+00
-1.079160E-01,+0.000000E+00,+5.360000E+00
-1.079120E-01,+0.000000E+00,+5.360000E+00
-1.079080E-01,+8.000000E-02,+5.360000E+00
-1.079040E-01,+8.000000E-02,+5.280000E+00
-1.079000E-01,+8.000000E-02,+5.280000E+00
-1.078960E-01,+8.000000E-02,+5.360000E+00
-1.078920E-01,+0.000000E+00,+5.280000E+00
-1.078880E-01,+0.000000E+00,+5.360000E+00
-1.078840E-01,+0.000000E+00,+5.280000E+00
-1.078800E-01,+0.000000E+00,+5.360000E+00
-1.078760E-01,+8.000000E-02,+5.360000E+00
-1.078720E-01,+0.000000E+00,+5.360000E+00
-1.078680E-01,+0.000000E+00,+5.360000E+00
-1.078640E-01,+0.000000E+00,+5.280000E+00
-1.078600E-01,+8.000000E-02,+5.360000E+00
-1.078560E-01,+0.000000E+00,+5.360000E+00
-1.078520E-01,+0.000000E+00,+5.360000E+00
-1.078480E-01,+0.000000E+00,+5.280000E+00
-1.078440E-01,+0.000000E+00,+5.280000E+00
-1.078400E-01,-8.000000E-02,+5.280000E+00
-1.078360E-01,+0.000000E+00,+5.360000E+00
-1.078320E-01,+0.000000E+00,+5.280000E+00
-1.078280E-01,-8.000000E-02,+5.360000E+00
-1.078240E-01,+0.000000E+00,+5.280000E+00
-1.078200E-01,+0.000000E+00,+5.280000E+00
-1.078160E-01,+0.000000E+00,+5.280000E+00
-1.078120E-01,+0.000000E+00,+5.280000E+00
-1.078080E-01,+8.000000E-02,+5.360000E+00
-1.078040E-01,+8.000000E-02,+5.280000E+00
-1.078000E-01,+8.000000E-02,+5.360000E+00
-1.077960E-01,+0.000000E+00,+5.280000E+00
-1.077920E-01,+8.000000E-02,+5.360000E+00
-1.077880E-01,+8.000000E-02,+5.280000E+00
-1.077840E-01,+8.000000E-02,+5.360000E+00
-1.077800E-01,+0.000000E+00,+5.360000E+00
-1.077760E-01,+0.000000E+00,+5.360000E+00
-1.077720E-01,+0.000000E+00,+5.360000E+00
-1.077680E-01,+0.000000E+00,+5.280000E+00
-1.077640E-01,+0.000000E+00,+5.280000E+00
-1.077600E-01,+0.000000E+00,+5.360000E+00
-1.077560E-01,+0.000000E+00,+5.360000E+00
-1.077520E-01,+0.000000E+00,+5.280000E+00
-1.077480E-01,+0.000000E+00,+5.360000E+00
-1.077440E-01,+0.000000E+00,+5.360000E+00
-1.077400E-01,+8.000000E-02,+5.280000E+00
-1.077360E-01,+0.000000E+00,+5.280000E+00
-1.077320E-01,+8.000000E-02,+5.360000E+00
-1.077280E-01,+0.000000E+00,+5.280000E+00
-1.077240E-01,+0.000000E+00,+5.360000E+00
-1.077200E-01,+0.000000E+00,+5.440000E+00
-1.077160E-01,+0.000000E+00,+5.280000E+00
-1.077120E-01,+8.000000E-02,+5.280000E+00
-1.077080E-01,+0.000000E+00,+5.280000E+00
-1.077040E-01,+0.000000E+00,+5.360000E+00
-1.077000E-01,+0.000000E+00,+5.280000E+00
-1.076960E-01,+0.000000E+00,+5.360000E+00
-1.076920E-01,+0.000000E+00,+5.280000E+00
-1.076880E-01,+0.000000E+00,+5.280000E+00
-1.076840E-01,+0.000000E+00,+5.360000E+00
-1.076800E-01,+0.000000E+00,+5.280000E+00
-1.076760E-01,+8.000000E-02,+5.360000E+00
-1.076720E-01,+0.000000E+00,+5.360000E+00
-1.076680E-01,+0.000000E+00,+5.280000E+00
-1.076640E-01,+8.000000E-02,+5.280000E+00
-1.076600E-01,+0.000000E+00,+5.280000E+00
-1.076560E-01,+0.000000E+00,+5.280000E+00
-1.076520E-01,+0.000000E+00,+5.440000E+00
-1.076480E-01,+0.000000E+00,+5.280000E+00
-1.076440E-01,+0.000000E+00,+5.360000E+00
-1.076400E-01,+0.000000E+00,+5.280000E+00
-1.076360E-01,+0.000000E+00,+5.360000E+00
-1.076320E-01,+8.000000E-02,+5.360000E+00
-1.076280E-01,+0.000000E+00,+5.440000E+00
-1.076240E-01,+1.600000E-01,+5.360000E+00
-1.076200E-01,+0.000000E+00,+5.280000E+00
-1.076160E-01,+0.000000E+00,+5.360000E+00
-1.076120E-01,+8.000000E-02,+5.360000E+00
-1.076080E-01,+8.000000E-02,+5.360000E+00
-1.076040E-01,-8.000000E-02,+5.360000E+00
-1.076000E-01,+0.000000E+00,+5.280000E+00
-1.075960E-01,+8.000000E-02,+5.360000E+00
-1.075920E-01,+0.000000E+00,+5.280000E+00
-1.075880E-01,+8.000000E-02,+5.360000E+00
-1.075840E-01,+0.000000E+00,+5.360000E+00
-1.075800E-01,-8.000000E-02,+5.360000E+00
-1.075760E-01,+0.000000E+00,+5.280000E+00
-1.075720E-01,+0.000000E+00,+5.360000E+00
-1.075680E-01,+0.000000E+00,+5.360000E+00
-1.075640E-01,+1.600000E-01,+5.280000E+00
-1.075600E-01,+8.000000E-02,+5.280000E+00
-1.075560E-01,+0.000000E+00,+5.360000E+00
-1.075520E-01,+8.000000E-02,+5.280000E+00
-1.075480E-01,+0.000000E+00,+5.280000E+00
-1.075440E-01,+0.000000E+00,+5.280000E+00
-1.075400E-01,+0.000000E+00,+5.440000E+00
-1.075360E-01,+0.000000E+00,+5.360000E+00
